part_no,part_desc,,,,,,,,,,
425FTA1295 ," HOSE,HEATER, 5/8"" ID PREMIUM",,,,,,,,,,
425FTA1310 ," TAPE,COATED PAPER, EASY TEAR",,,,,,,,,,
425FTA1315 ," HOSE, WINDSHIELD WASHER",,,,,,,,,,
425FTA1320 ," INSULATOR, HOSE",,,,,,,,,,
425FTA1325 ," HOSE,HEATER, BULK, 5/8""",,,,,,,,,,
425FTA1340 ," HOSE,FLEX AIR, (NYLON 5/8 OD",,,,,,,,,,
425FTA1345 ," HOSE,FLEX AIR, (NYLON 1/2 OD",,,,,,,,,,
425FTA1350 ," TUBE, NYLON (BULK) 3/8 IN. SILVER",,,,,,,,,,
425FTA1395 ," HOSE,FLEX AIR, TUBE,NYLON 5/8 OD",,,,,,,,,,
425FTA1400 ," TUBE, NYLON, 3/8"" BLACK",,,,,,,,,,
425FTA1405 ," TUBE, NYLON 5/8 OD BLACK (BULK)",,,,,,,,,,
425FTA1420 ," HOSE,FLEX AIR, NYLON, (3/8 OD",,,,,,,,,,
425FTA1430 ," HOSE,HEATER, 3/8"" ID PREMIUM",,,,,,,,,,
425FTA1435 ," HOSE,FLEX AIR, (NYLON 3/8 OD",,,,,,,,,,
425FTA1440 ," CONDUIT,CABLE ELECTRICAL, CONVOL TUBE",,,,,,,,,,
2020342C1 ," STRAP, CABLE LOCK",,,,,,,,,,
2020344C1 ," CONDUIT,CABLE ELECTRICAL, CONDUIT, CONVOL TUBE",,,,,,,,,,
2022890C93 ," HOSE,FLEX AIR, (NYLON 3/8 OD",,,,,,,,,,
2024440C1 ," CONDUIT,CABLE ELECTRICAL, CONVOL TUBE 3/4 ID X .973 OD",,,,,,,,,,
2024442C1 ," NUT, M16, HEX PREV TORQUE FLANGE NUT CL 10",,,,,,,,,,
4207336F93 ," STRAP,CABLE LOCK, 20 IN. CABLE TIE, 250LB",,,,,,,,,,
4207347F92 ," CONDUIT,CABLE ELECTRICAL, CONVOL TUBE 1.00 ID X 1.29 OD",,,,,,,,,,
